duration,credit_amount,installment_rate,residence_since,age,existing_credits,num_dependents,status_a12,status_a13,status_a14,credit_history_a31,credit_history_a32,credit_history_a33,credit_history_a34,purpose_a41,purpose_a410,purpose_a42,purpose_a43,purpose_a44,purpose_a45,purpose_a46,purpose_a48,purpose_a49,savings_a62,savings_a63,savings_a64,savings_a65,employment_a72,employment_a73,employment_a74,employment_a75,personal_status_a92,personal_status_a93,personal_status_a94,other_debtors_a102,other_debtors_a103,property_a122,property_a123,property_a124,other_installments_a142,other_installments_a143,housing_a152,housing_a153,job_a172,job_a173,job_a174,telephone_a192,foreign_worker_a202,class,unique_str
24,5a20da5d69516ee48339d848f088f432,4,2,33,2,1,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,0,c5564cf9696500056ae5b82cf42a3970628c0ffe2412b2c51f5bc23a158376ea20e3c2b3871d2f1f3a445e49a9d815c6
45,29baadb04402521d7e8db32f155bfb6e,4,4,23,1,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,1,dbe554798e8edab318cf93e1caebfbf30163051a8c0777dfbaff6aa48bb3a44be770169341bd02cd87ec261aa6857dde
48,854783812daf3ef8c5785d1b9197cb58,3,4,24,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,1,425b8a910dad628da2e8af6291afa155adf545766777fe6d93bc1be6da1168a3a3edbb65898c0473038ed5aa3deee74f
4,7956802e4545ea5b93b34cb3b6c85e9b,2,1,42,3,2,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,0,0e6c9a5b6a08aeb80c45a2def0122440d98d7a0221e655889e50d5429e780468454db0cff231a8f459c5d9931511cbc7
24,1a8be785c1af29c1e159d0d9c39bd211,4,4,54,2,2,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,0,6f1ad1f7ea16af7f2199bf76a7f70f8c8cf459900171093eaa4e4bf21430ce4a9fc42ce5ec76fcd239f82b474095af42
15,4e5f99b52fe171f789c56fa12578c47a,3,2,25,1,1,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,1,2b4a2714d7c543f08dcb157573bfba1edba32fa9afbcbc174c48d8fda49e874a02344b8330955196796432b9315392e8
18,6766ff297aac31a22e1d33ccc46009a3,4,4,26,1,2,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,0,4ed6f3f93d172dd36f24c0d07dac1e71729dd7add3ebb5750783856829f998274340843a5770d3b55214f3a382c5fe23
36,ce96325bd384f2c65f6b0523c66deaac,4,4,31,1,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,1,a4d01ed63522791a1c22868d4b53496f2db0e8bf4a4a90026292440563c39b65dee34bd1ec78f98c023c3acda37cd3ce
6,859cda767b642697e0972d3d12129e4c,1,4,68,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,0,fd43ac5bbfd0425ab1d3ef3ae58beee9e8cacc2f001ed60afa1a9266564ecdd158ea35fda9ad174c8a9eeb03ef0f6f79
24,bf11137133379da8a363af66b7ffa1a8,3,4,53,1,1,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,0,49d24d15a39058912a9c08b69490c2cd74ebec43cba3b58af49a61a8749690e99a68822eb81a834c1426b6b226fda037
